latitude,longitude,stop,sublines,substopid
40.799494,-73.968308,103rd St,1,22
40.790697,-73.947472,103rd St,6,120
40.749804,-73.862436,103rd St,7,173
40.796185,-73.961448,103rd St,B C,191
40.694955,-73.844727,104-102nd Sts,J Z,327
40.681701,-73.838032,104th St,A,238
40.795213,-73.944126,110th St,6,121
40.799098,-73.951899,110th St-Central Park N,2 3,39
40.751610,-73.855211,111st St,7,174
40.684071,-73.832541,111st St,A,239
40.697250,-73.836895,111st St,J,328
40.802443,-73.949470,116th St,2 3,40
40.798721,-73.941619,116th St,6,122
40.805088,-73.954872,116th St,B C,193
40.807928,-73.963919,116th St-Columbia Univ,1 9,24
40.700342,-73.828714,121st St,J Z,329
40.815636,-73.958296,125th St,1,25
40.807885,-73.945450,125th St,2 3,41
40.804402,-73.937492,125th St,4 5 6,123
40.811296,-73.952200,125th St,A B C D,194
40.814148,-73.940877,135th St,2 3,42
40.817941,-73.947618,135th St,B C,195
40.821459,-73.954062,137th St,1,26
40.813367,-73.930042,138th St-Grand Concourse,4 5,124
40.826606,-73.950331,145th St,1,27
40.820501,-73.936284,145th St,3,43
40.824980,-73.944056,145th St,A B C D,196
40.823832,-73.936207,148th St,3,44
40.818433,-73.927439,149th St-Grand Concourse,2 4 5,125
40.818484,-73.926989,149th St-Grand Concourse,2 4 5,45
40.738650,-73.995862,14th St-6-7th Aves,1 2 3 F L V,293
40.745360,-73.998488,14th St-8th Ave,C E,182
40.830335,-73.937979,155th St,B D,205
40.830874,-73.941342,155th St,C,197
40.834143,-73.944819,157th St,1,28
40.660786,-73.980044,15th St,F,342
40.828127,-73.925904,161st St-Yankee Stadium,4 B D,126
40.836164,-73.939974,163rd St,C,198
40.835704,-73.921244,167th St,4,127
40.834004,-73.918225,167th St,B D,207
40.840926,-73.939507,168th St-Broadway,1 A C,199
40.710468,-73.793563,169th St,F,276
40.840153,-73.917655,170th St,4,128
40.839435,-73.913304,170th St,B D,208
40.845689,-73.910383,174-175th Sts,B D,209
40.837393,-73.887711,174th St-Southern Blvd,2 5,52
40.847652,-73.939612,175th St,A,200
40.848570,-73.911638,176th St,4,130
40.712598,-73.783972,179th St,F,277
40.849884,-73.933276,181st St,1,30
40.852128,-73.937812,181st St,A,201
40.856355,-73.900565,182-183rd Sts,B D,211
40.858698,-73.903700,183rd St,4,132
40.629751,-73.977035,18th Ave,F,346
40.608011,-74.001721,18th Ave,M W,419
40.620709,-73.990533,18th Ave,N,427
40.741029,-73.997814,18th St-7th Ave,1 2,10
40.858841,-73.934339,190th St,A,202
40.855574,-73.929116,191st St,1,31
40.731336,-73.982536,1st Ave-14th St,L,441
40.875014,-73.879430,205th St,D,215
40.865070,-73.918415,207th St,1,33
40.868108,-73.919736,207th St-Washington Hts,A,204
40.604688,-73.998422,20th Ave,M W,420
40.617441,-73.985014,20th Ave,N,428
40.869555,-73.915163,215th St,1,34
40.883528,-73.862756,219th St,2 5,60
40.743741,-73.949454,21st St (Van Alst),G,288
40.753621,-73.942198,21st St-Queensbridge,F,466
40.874634,-73.909629,225th St,1,35
40.888227,-73.860216,225th St,2 5,61
40.878977,-73.904760,231st St,1,36
40.893302,-73.857375,233rd St,2 5,62
40.885019,-73.900690,238th St,2 5,37
40.898417,-73.854239,238th St,2 5,63
40.742939,-73.992810,23rd St-6th Ave,F V,294
40.744118,-73.995590,23rd St-7th Ave,1 2,11
40.741065,-74.001525,23rd St-8th Ave,A C E L,181
40.741399,-73.989253,23rd St-Broadway,N R,368
40.746635,-73.945156,23rd St-Ely Ave-Court Sq,7,161
40.747467,-73.945571,23rd St-Ely Ave-Court Sq,E G V,257
40.740185,-73.986365,23rd St-Park Ave S,6,110
40.903401,-73.850398,241st St,2,64
40.889438,-73.898408,242nd St,1,38
40.597869,-73.986911,25th Ave,W,422
40.660282,-73.998106,25th St,M N R,403
40.747181,-73.993321,28th St-7th Ave,1 2,12
40.745380,-73.988663,28th St-Broadway,N R,367
