id,vendor_id,pickup_datetime,dropoff_datetime,passenger_count,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,store_and_fwd_flag,trip_duration
id2875421,2,2016-03-14 17:24:55,2016-03-14 17:32:30,1,-73.98215484619139,40.76793670654297,-73.96463012695312,40.765602111816406,N,455
id2377394,1,2016-06-12 00:43:35,2016-06-12 00:54:38,1,-73.98041534423827,40.738563537597656,-73.99948120117188,40.73115158081055,N,663
id3858529,2,2016-01-19 11:35:24,2016-01-19 12:10:48,1,-73.97902679443358,40.763938903808594,-74.00533294677734,40.71008682250977,N,2124
id3504673,2,2016-04-06 19:32:31,2016-04-06 19:39:40,1,-74.01004028320312,40.719970703125,-74.01226806640625,40.70671844482422,N,429
id2181028,2,2016-03-26 13:30:55,2016-03-26 13:38:10,1,-73.97305297851562,40.79320907592773,-73.9729232788086,40.78252029418945,N,435
id0801584,2,2016-01-30 22:01:40,2016-01-30 22:09:03,6,-73.9828567504883,40.74219512939453,-73.99208068847656,40.749183654785156,N,443
id1813257,1,2016-06-17 22:34:59,2016-06-17 22:40:40,4,-73.9690170288086,40.75783920288085,-73.95740509033203,40.76589584350585,N,341
id1324603,2,2016-05-21 07:54:58,2016-05-21 08:20:49,1,-73.96927642822266,40.79777908325195,-73.92247009277344,40.76055908203125,N,1551
id1301050,1,2016-05-27 23:12:23,2016-05-27 23:16:38,1,-73.99948120117188,40.73839950561523,-73.9857864379883,40.73281478881836,N,255
id0012891,2,2016-03-10 21:45:01,2016-03-10 22:05:26,1,-73.98104858398438,40.74433898925781,-73.9729995727539,40.78998947143555,N,1225
id1436371,2,2016-05-10 22:08:41,2016-05-10 22:29:55,1,-73.98265075683594,40.76383972167969,-74.00222778320312,40.73299026489258,N,1274
id1299289,2,2016-05-15 11:16:11,2016-05-15 11:34:59,4,-73.9915313720703,40.74943923950195,-73.95654296875,40.7706298828125,N,1128
id1187965,2,2016-02-19 09:52:46,2016-02-19 10:11:20,2,-73.96298217773438,40.7566795349121,-73.98440551757811,40.760719299316406,N,1114
id0799785,2,2016-06-01 20:58:29,2016-06-01 21:02:49,1,-73.95630645751955,40.76794052124024,-73.96611022949219,40.76300048828125,N,260
id2900608,2,2016-05-27 00:43:36,2016-05-27 01:07:10,1,-73.99219512939453,40.72722625732422,-73.9746551513672,40.783069610595696,N,1414
id3319787,1,2016-05-16 15:29:02,2016-05-16 15:32:33,1,-73.9555130004883,40.768592834472656,-73.94876098632812,40.77154541015625,N,211
id3379579,2,2016-04-11 17:29:50,2016-04-11 18:08:26,1,-73.99116516113281,40.75556182861328,-73.9992904663086,40.7253532409668,N,2316
id1154431,1,2016-04-14 08:48:26,2016-04-14 09:00:37,1,-73.99425506591797,40.74580383300781,-73.9996566772461,40.72334289550781,N,731
id3552682,1,2016-06-27 09:55:13,2016-06-27 10:17:10,1,-74.00398254394531,40.7130126953125,-73.97919464111328,40.74992370605469,N,1317
id3390316,2,2016-06-05 13:47:23,2016-06-05 13:51:34,1,-73.98388671875,40.738197326660156,-73.99120330810547,40.7278709411621,N,251
id2070428,1,2016-02-28 02:23:02,2016-02-28 02:31:08,1,-73.9803695678711,40.7424201965332,-73.96285247802734,40.76063537597656,N,486
id0809232,2,2016-04-01 12:12:25,2016-04-01 12:23:17,1,-73.9795379638672,40.753360748291016,-73.96399688720702,40.76345825195313,N,652
id2352683,1,2016-04-09 03:34:27,2016-04-09 03:41:30,1,-73.99586486816406,40.7588119506836,-73.99332427978516,40.74032211303711,N,423
id1603037,1,2016-06-25 10:36:26,2016-06-25 10:55:49,1,-73.9935531616211,40.74717330932617,-74.00614166259766,40.704383850097656,N,1163
id3321406,2,2016-06-03 08:15:05,2016-06-03 08:56:30,1,-73.95523071289062,40.77713394165039,-73.78874969482422,40.64147186279297,N,2485
id0129640,2,2016-02-14 13:27:56,2016-02-14 13:49:19,1,-73.95658111572266,40.77135848999024,-73.97496795654298,40.73279190063477,N,1283
id3587298,1,2016-02-27 21:56:01,2016-02-27 22:14:51,1,-73.9837646484375,40.74987411499024,-73.95883178710938,40.80096054077149,N,1130
id2104175,1,2016-06-20 23:07:16,2016-06-20 23:18:50,1,-73.95843505859375,40.713191986083984,-73.9495391845703,40.68025207519531,N,694
id3973319,2,2016-06-13 21:57:27,2016-06-13 22:12:19,1,-73.99421691894531,40.71330642700195,-73.98284912109375,40.692298889160156,N,892
id1410897,1,2016-03-23 14:10:39,2016-03-23 14:49:30,1,-73.98211669921875,40.75635147094727,-73.86569213867188,40.77098846435547,N,2331
id0266980,1,2016-05-17 10:47:51,2016-05-17 11:12:30,1,-73.97093963623048,40.76166915893555,-73.9962387084961,40.72536849975585,N,1479
id2822549,2,2016-05-21 13:03:24,2016-05-21 13:20:52,1,-73.9982681274414,40.720039367675774,-74.01036071777344,40.67213821411133,N,1048
id3075902,2,2016-05-10 19:27:38,2016-05-10 19:44:40,2,-74.00550079345702,40.70658874511719,-73.9858169555664,40.74420166015625,N,1022
id0023813,1,2016-04-17 14:38:30,2016-04-17 15:16:19,1,-73.99031066894531,40.7565803527832,-73.87091827392578,40.77392959594727,N,2269
id3970352,1,2016-01-09 12:55:35,2016-01-09 13:07:22,1,-74.00899505615234,40.712589263916016,-73.9986343383789,40.72280883789063,N,707
id3361153,1,2016-03-11 07:11:23,2016-03-11 07:20:09,1,-73.99456024169923,40.750526428222656,-73.97850036621094,40.7561912536621,N,526
id1870624,1,2016-01-05 15:29:54,2016-01-05 15:39:07,3,-73.9515151977539,40.77024841308594,-73.95852661132812,40.76151657104492,N,553
id2403238,1,2016-06-23 23:00:09,2016-06-23 23:04:46,1,-73.98806762695312,40.72808074951172,-73.98075103759766,40.72146987915039,N,277
id3323083,1,2016-05-27 14:26:12,2016-05-27 14:46:01,2,-73.9781265258789,40.75834274291992,-73.99224853515625,40.73054122924805,N,1189
id3720663,1,2016-05-10 16:14:56,2016-05-10 16:40:19,1,-73.97776794433594,40.77407836914063,-73.9471435546875,40.77599334716797,N,1523
id0578558,1,2016-04-21 21:28:27,2016-04-21 21:52:37,2,-73.9885482788086,40.74597930908203,-73.97088623046875,40.79338455200195,N,1450
